"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1718","Test Case 8: Verify All Products and product detail page","tests","Tue May 13 16:49:02 GMT 2025","passed","Tue May 13 16:49:03 GMT 2025","TestProducts","test_products","",""
"","1014","Test Case 5: Register User with existing email","tests","Tue May 13 16:49:04 GMT 2025","passed","Tue May 13 16:49:05 GMT 2025","TestSingUp","test_sing_up","",""
"","2239","Test Case 4: Logout User","tests","Tue May 13 16:49:06 GMT 2025","passed","Tue May 13 16:49:08 GMT 2025","TestLoginPage","test_login","",""
"","378","Test Case 7: Verify Test Cases Page","tests","Tue May 13 16:49:10 GMT 2025","passed","Tue May 13 16:49:10 GMT 2025","TestTestCasesPage","test_test_cases","",""
"","1494","Test Case 2: Login User with correct email and password","tests","Tue May 13 16:49:07 GMT 2025","passed","Tue May 13 16:49:08 GMT 2025","TestLoginPage","test_login","",""
"","4687","Test Case 1: Register User","tests","Tue May 13 16:48:57 GMT 2025","passed","Tue May 13 16:49:02 GMT 2025","TestSingUp","test_sing_up","",""
"","2176","Test Case 6: Contact Us Form","tests","Tue May 13 16:48:57 GMT 2025","passed","Tue May 13 16:48:59 GMT 2025","TestContact","test_contact","",""
"","274","Test Case 10: Verify Subscription in home page","tests","Tue May 13 16:49:10 GMT 2025","passed","Tue May 13 16:49:10 GMT 2025","TestSubscription","test_subscription","",""
"","1071","Test Case 3: Login User with incorrect email and password","tests","Tue May 13 16:48:57 GMT 2025","passed","Tue May 13 16:48:58 GMT 2025","TestLoginPage","test_login","",""
"","2191","Test Case 9: Product Search","tests","Tue May 13 16:48:57 GMT 2025","passed","Tue May 13 16:48:59 GMT 2025","TestProductSearch","test_product_search","",""
