"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 13 17:34:42 UTC 2025","Tue May 13 17:34:44 UTC 2025","1753","tests","test_login","TestLoginPage","","","Test Case 4: Logout User",""
"passed","Tue May 13 17:34:34 UTC 2025","Tue May 13 17:34:36 UTC 2025","1993","tests","test_contact","TestContact","","","Test Case 6: Contact Us Form",""
"passed","Tue May 13 17:34:39 UTC 2025","Tue May 13 17:34:40 UTC 2025","1734","tests","test_products","TestProducts","","","Test Case 8: Verify All Products and product detail page",""
"passed","Tue May 13 17:34:45 UTC 2025","Tue May 13 17:34:45 UTC 2025","133","tests","test_subscription","TestSubscription","","","Test Case 10: Verify Subscription in home page",""
"passed","Tue May 13 17:34:46 UTC 2025","Tue May 13 17:34:46 UTC 2025","256","tests","test_test_cases","TestTestCasesPage","","","Test Case 7: Verify Test Cases Page",""
"passed","Tue May 13 17:34:40 UTC 2025","Tue May 13 17:34:41 UTC 2025","787","tests","test_sing_up","TestSingUp","","","Test Case 5: Register User with existing email",""
"passed","Tue May 13 17:34:34 UTC 2025","Tue May 13 17:34:38 UTC 2025","4479","tests","test_sing_up","TestSingUp","","","Test Case 1: Register User",""
"passed","Tue May 13 17:34:34 UTC 2025","Tue May 13 17:34:35 UTC 2025","1156","tests","test_login","TestLoginPage","","","Test Case 3: Login User with incorrect email and password",""
"passed","Tue May 13 17:34:34 UTC 2025","Tue May 13 17:34:36 UTC 2025","2665","tests","test_product_search","TestProductSearch","","","Test Case 9: Product Search",""
"passed","Tue May 13 17:34:43 UTC 2025","Tue May 13 17:34:44 UTC 2025","1480","tests","test_login","TestLoginPage","","","Test Case 2: Login User with correct email and password",""
